:            Name          M_Time[i,4]   M_OBFV  M_Bestnode M_ResNum    :=
4   Model2_Basic_MIP_RLT      1289.24    3499.12   3499.12      2
6   Model2_Basic_MIP_B_RLT    1630.56    3541.04   3541.04      2
;

com_measure1 = 1
com_measure2 = 1
tau = 2.28092
kappa = 4.00443
alpha = 0.9
B = 253.09

:
                                                                M_Message
 :=
4
   'CPLEX 12.6.2.0: optimal integer solution; objective 3499.124778\
930 MIP simplex iterations\
49 branch-and-bound nodes\
No basis.'
6
   'CPLEX 12.6.2.0: optimal integer solution; objective 3541.035846\
1304 MIP simplex iterations\
47 branch-and-bound nodes\
No basis.'
;
: M_INDICATE    :=
;

M_Time :=
4 1     30.6875
4 2     32.418
4 3   2344.98
4 4   1289.24
6 1     30.6875
6 2     32.418
6 3   3052.92
6 4   1630.56
;

M_tau [*] :=
4  2.17916
6  2.28092
;

:      M_Cost  M_Sequence    :=
4 1     411.07       2
4 2    3088.05      10
4 3       .          7
4 4       .          9
4 5       .          4
4 6       .          8
4 7       .          1
4 8       .          6
4 9       .          4
4 10      .          4
6 1     247.26       2
6 2    3541.04       9
6 3       .          7
6 4       .          8
6 5       .          4
6 6       .         10
6 7       .          1
6 8       .          6
6 9       .          4
6 10      .          4
;

:       M_Vectheta M_Vecu    :=
4 1  1       1        0
4 1  2       1        1
4 1  3       1        0
4 1  4       1        1
4 1  5       1        0
4 1  6       1        0
4 1  7       0        0
4 1  8       1        0
4 1  9       1        0
4 1  10      1        0
4 2  1       0        1
4 2  2       1        0
4 2  3       0        1
4 2  4       0        0
4 2  5       0        1
4 2  6       0        1
4 2  7       0        1
4 2  8       0        1
4 2  9       0        1
4 2  10      0        1
4 3  1       0         .
4 3  2       1         .
4 3  3       1         .
4 3  4       1         .
4 3  5       0         .
4 3  6       1         .
4 3  7       0         .
4 3  8       0         .
4 3  9       0         .
4 3  10      0         .
4 4  1       0         .
4 4  2       1         .
4 4  3       0         .
4 4  4       1         .
4 4  5       0         .
4 4  6       0         .
4 4  7       0         .
4 4  8       0         .
4 4  9       0         .
4 4  10      0         .
4 5  1       0         .
4 5  2       1         .
4 5  3       1         .
4 5  4       1         .
4 5  5       1         .
4 5  6       1         .
4 5  7       0         .
4 5  8       1         .
4 5  9       0         .
4 5  10      1         .
4 6  1       0         .
4 6  2       1         .
4 6  3       0         .
4 6  4       1         .
4 6  5       0         .
4 6  6       1         .
4 6  7       0         .
4 6  8       0         .
4 6  9       0         .
4 6  10      0         .
4 7  1       1         .
4 7  2       1         .
4 7  3       1         .
4 7  4       1         .
4 7  5       1         .
4 7  6       1         .
4 7  7       1         .
4 7  8       1         .
4 7  9       1         .
4 7  10      1         .
4 8  1       0         .
4 8  2       1         .
4 8  3       1         .
4 8  4       1         .
4 8  5       0         .
4 8  6       1         .
4 8  7       0         .
4 8  8       1         .
4 8  9       0         .
4 8  10      0         .
4 9  1       0         .
4 9  2       1         .
4 9  3       1         .
4 9  4       1         .
4 9  5       1         .
4 9  6       1         .
4 9  7       0         .
4 9  8       1         .
4 9  9       1         .
4 9  10      0         .
4 10 1       0         .
4 10 2       1         .
4 10 3       1         .
4 10 4       1         .
4 10 5       0         .
4 10 6       1         .
4 10 7       0         .
4 10 8       1         .
4 10 9       1         .
4 10 10      1         .
6 1  1       1        0
6 1  2       1        1
6 1  3       1        1
6 1  4       1        1
6 1  5       1        0
6 1  6       1        1
6 1  7       0        0
6 1  8       1        1
6 1  9       1        0
6 1  10      1        0
6 2  1       0        1
6 2  2       1        0
6 2  3       0        0
6 2  4       0        0
6 2  5       0        1
6 2  6       1        0
6 2  7       0        1
6 2  8       0        0
6 2  9       0        1
6 2  10      0        1
6 3  1       0         .
6 3  2       1         .
6 3  3       1         .
6 3  4       1         .
6 3  5       0         .
6 3  6       1         .
6 3  7       0         .
6 3  8       0         .
6 3  9       0         .
6 3  10      0         .
6 4  1       0         .
6 4  2       1         .
6 4  3       0         .
6 4  4       1         .
6 4  5       0         .
6 4  6       1         .
6 4  7       0         .
6 4  8       0         .
6 4  9       0         .
6 4  10      0         .
6 5  1       0         .
6 5  2       1         .
6 5  3       1         .
6 5  4       1         .
6 5  5       1         .
6 5  6       1         .
6 5  7       0         .
6 5  8       1         .
6 5  9       0         .
6 5  10      1         .
6 6  1       0         .
6 6  2       0         .
6 6  3       0         .
6 6  4       0         .
6 6  5       0         .
6 6  6       1         .
6 6  7       0         .
6 6  8       0         .
6 6  9       0         .
6 6  10      0         .
6 7  1       1         .
6 7  2       1         .
6 7  3       1         .
6 7  4       1         .
6 7  5       1         .
6 7  6       1         .
6 7  7       1         .
6 7  8       1         .
6 7  9       1         .
6 7  10      1         .
6 8  1       0         .
6 8  2       1         .
6 8  3       1         .
6 8  4       1         .
6 8  5       0         .
6 8  6       1         .
6 8  7       0         .
6 8  8       1         .
6 8  9       0         .
6 8  10      0         .
6 9  1       0         .
6 9  2       1         .
6 9  3       1         .
6 9  4       1         .
6 9  5       1         .
6 9  6       1         .
6 9  7       0         .
6 9  8       1         .
6 9  9       1         .
6 9  10      0         .
6 10 1       0         .
6 10 2       1         .
6 10 3       1         .
6 10 4       1         .
6 10 5       0         .
6 10 6       1         .
6 10 7       0         .
6 10 8       1         .
6 10 9       1         .
6 10 10      1         .
;

