:            Name          M_Time[i,4]   M_OBFV  M_Bestnode M_ResNum    :=
4   Model2_Basic_MIP_RLT       0.062     746.245   746.245      2
6   Model2_Basic_MIP_B_RLT     0.062     534.351   534.351      2
;

tau = 12.3684
kappa = 0.904
alpha = 0.2

:
                                                               M_Message
 :=
4
   'CPLEX 12.6.2.0: optimal integer solution; objective 746.2452\
51 MIP simplex iterations\
0 branch-and-bound nodes\
No basis.'
6
   'CPLEX 12.6.2.0: optimal integer solution; objective 534.3513158\
61 MIP simplex iterations\
0 branch-and-bound nodes\
No basis.'
;
: M_INDICATE    :=
;

:      M_Time    M_Cost  M_Sequence    :=
4 1   0.015625   210          3
4 2   0.016      536.245      1
4 3   0.078125      .         5
4 4   0.062         .         2
4 5       .         .         4
6 1   0.015625   234          2
6 2   0.016      534.351      3
6 3   0.0625        .         5
6 4   0.062         .         1
6 5       .         .         4
;

:     M_Vectheta M_Vecu    :=
4 1 1      1        1
4 1 2      0        0
4 1 3      1        1
4 1 4      0        0
4 1 5      1        1
4 2 1      1        0
4 2 2      1        1
4 2 3      1        0
4 2 4      1        1
4 2 5      1        0
4 3 1      0         .
4 3 2      0         .
4 3 3      1         .
4 3 4      0         .
4 3 5      0         .
4 4 1      1         .
4 4 2      0         .
4 4 3      1         .
4 4 4      1         .
4 4 5      1         .
4 5 1      0         .
4 5 2      0         .
4 5 3      1         .
4 5 4      0         .
4 5 5      1         .
6 1 1      1        0
6 1 2      1        1
6 1 3      1        1
6 1 4      0        0
6 1 5      1        1
6 2 1      0        1
6 2 2      1        0
6 2 3      1        0
6 2 4      0        1
6 2 5      1        0
6 3 1      0         .
6 3 2      0         .
6 3 3      1         .
6 3 4      0         .
6 3 5      0         .
6 4 1      1         .
6 4 2      1         .
6 4 3      1         .
6 4 4      1         .
6 4 5      1         .
6 5 1      0         .
6 5 2      0         .
6 5 3      1         .
6 5 4      0         .
6 5 5      1         .
;

